"ror_nr","ror_unit","ror_plant","region_id","zip","city","street","year","Pinst","efactor","head","total_flow","flo_river_ror","status","company","turbtype","geodbid","river","river_km","level_meter"
"3550","E21875011000000000000187390500000",,"11017","92334","Berching","Poststr.","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"14292",,"0","33"
"3551","E21875011000000000000187392100000",,"11017","92334","Berching","Rudersdorfer Str.","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"14292",,"0","33"
"3552","E21875011000000000000187395400000",,"11017","92339","Beilngries","Braeuhausstr.","2001","0.17","0.00","0.00","0.00",NULL,"OPR",,,"14229",,"0","33"
"3553","E21875011000000000000187406200000",,"11017","92339","Beilngries","DE/Nicht zugeordnet","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"14229",,"0","33"
"3554","E21875011000000000000187409500000",,"11017","92345","Dietfurt","Hafnergasse","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"15614",,"0","33"
"3555","E21875011000000000000187410200000",,"11017","92345","Dietfurt","Hauptstr.","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"15614",,"0","33"
"3556","E21875011000000000000187412200000",,"11017","92363","Breitenbrunn","Erbmuehle","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"14914",,"0","33"
"3557","E21875011000000000000187412700000",,"11017","92345","Dietfurt","Staadorf","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"15614",,"0","33"
"3558","E21875011000000000000187416700000",,"11017","92345","Dietfurt","Krampelmuehlweg","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"15614",,"0","33"
"3559","E21875011000000000000187418000000",,"11017","92345","Dietfurt","Obermuehlenweg","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"15614",,"0","33"
"3560","E21875011000000000000187420500000",,"11017","92348","Berg","Praelat-Kuerzinger-Str","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"14305",,"0","33"
"3561","E21875011000000000000187421000000",,"11017","92348","Berg","Untere Dorfstr.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"14305",,"0","33"
"3562","E21875011000000000000187430100000",,"11017","92355","Velburg","Hollerstettener Str.","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"25357",,"0","33"
"3563","E21875011000000000000187438100000",,"11018","94579","Zenting","Ranfelser Str.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"26579",,"0","12"
"3564","E21875011000000000000187438600000",,"11017","92360","Muehlhausen","Ellmannsdorf","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"21153",,"0","33"
"3565","E21875011000000000000187439500000",,"11017","92360","Muehlhausen","Sandmuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"21153",,"0","33"
"3566","E21875011000000000000187444700000",,"11017","92363","Breitenbrunn","Duerner Str.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"14914",,"0","33"
"3567","E21875011000000000000187445900000",,"11017","92363","Breitenbrunn","Aumuehle","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"14914",,"0","33"
"3568","E21875011000000000000187446400000",,"11017","92363","Breitenbrunn","St.-Sebastians-Weg","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"14914",,"0","33"
"3569","E21875011000000000000187447300000",,"11017","92364","Deining","Baeckermuehle","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"15484",,"0","33"
"3570","E21875011000000000000187450400000",,"11017","92366","Hohenfels","Blechmuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"18507",,"0","33"
"3571","E21875011000000000000187451300000",,"11017","92367","Pilsach","Danlohe","2001","0.00","0.00","0.00","0.00",NULL,"OPR",,,"22457",,"0","33"
"3572","E21875011000000000000187451700000",,"11017","92369","Sengenthal","Birkenmuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"24203",,"0","33"
"3573","E21875011000000000000187452200000",,"11017","92369","Sengenthal","Braunmuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"24203",,"0","33"
